review_id,review,rating,rating_derived_label,annotator_1,annotator_2,annotator_3,final_sentiment,Unnamed: 8,Unnamed: 9,Unnamed: 10,majority_label,full_agreement,requires_resolution,resolution_notes
21683,My 8yr old loves McGriddle's,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
15179,The bomb,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
7412,Cheap food. Make sure you get a straw,4,Positive,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
17431,"Well what can I say about McDonalds. It's not the best, but it is consistent. I would not recommend it as a steady diet.",3,Neutral,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
2109,The usual McDonald's good drunk food. Crowed in drive thru service still pretty quick. Price went up a little not much still good deals,4,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
25132,Yummy breakfasts,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
5266,I ordered 40pc chicken nuggets and only got 20. Someone needs to learn how to read better. It wasn,1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
10621,Drive through only (we love LA),3,Neutral,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
6121,Its a place to run in & grab something quick to eat . As far as sitting in there its not ok the ppl they allow in there are mostly homeless,2,Negative,Negative,Positive,Negative,Negative,,,,Negative,False,False,
333,Sometimes you don't get your order right,3,Neutral,Negative,Positive,Negative,Negative,,,,Negative,False,False,
12151,Newest but the slowest. Fifteen minutes at the drive through to get our meal.,1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
8991,Customer service was in okay I wish I spoke a little Spanish it would have been better if you know what I'm saying,4,Positive,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
12115,Their food is excellent by day but mess up orders at night it seems like the best time to eat is in the morning,1,Negative,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
2533,"Family place,great food",5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
10166,"Wow what a McDonald's! This one has all of my favorite McDonald's menu items, like cheeseburgers, double cheeseburgers, Chicken McNuggets, Big Mac, milkshakes... My gosh they have got it all. Oh yeah, they have French fries, too! And milkshakes which taste exactly like McDonald's milkshakes. I expected that they would but you know it's always nice when things go according to plan. In conclusion, if you are ever in the mood for McDonald's food, then this location will fulfill that need A+!",5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
17648,"Need more options, more",3,Neutral,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
4631,It was ok,4,Positive,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
19689,Check your bag,3,Neutral,Neutral,Neutral,Negative,Neutral,,,,Neutral,False,False,
3311,I bought ice tea and big mac chicken sandwich,5,Positive,Neutral,Negative,Neutral,Neutral,,,,Neutral,False,False,
24966,"At least they finally renovated, so it doesn't feel like the 60s still.",3,Neutral,Positive,Negative,Positive,Positive,,,,Positive,False,False,
30777,"Unfortunately, for a ""fast food"" restaurant that is in proximity to massive convention hotels, they were very slow and never seemed to be ready for the rush!",3,Neutral,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
6053,I went late at night and they were out of a few things. Nothing I was trying to order though--quick and efficient. Be wary that NYC doesn't have deals on the McDonald's app like other cities do.,4,Positive,Neutral,Negative,Neutral,Neutral,,,,Neutral,False,False,
4248,"Absolutely horrid customer service; and even though I have lower expectations for a McDonald's in food quality, this has particularly bare food taste and is often served sloppily. Eye contact is optional in their employee training, apparently.",1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
30855,Over priced based on location. Bring your own food if you are traveling from out of town or try somewhere else.,1,Negative,Negative,Positive,Negative,Negative,,,,Negative,False,False,
22695,Fast service but got our order wrong. Misstakes happen....,4,Positive,Neutral,Negative,Neutral,Neutral,,,,Neutral,False,False,
14462,Ok good wasn't fresh,1,Negative,Negative,Positive,Neutral,Negative,,,,,False,True,
13654,"World's largest Mcdo, though doesn't seem that large inside. Since 6 out of 10 self order points were broken, the wait was very long before being able to order. The food was according to expectations.",3,Neutral,Neutral,Negative,Negative,Neutral,,,,Negative,False,False,
18600,Very busy!,4,Positive,Neutral,Positive,Neutral,Negative,,,,Neutral,False,False,
20299,"For God s sakes, please make the cookies fresh and warm when a customer orders them & stop baking 2 dozen ahead of time a",2,Negative,Negative,Positive,Negative,Positive,,,,Negative,False,False,
33252,"The food is good but the service is bad, nobody pays attention to you",2,Negative,Negative,Neutral,Negative,Neutral,,,,Negative,False,False,
9063,It's okay it's not the best part of town a lot of homeless people and Drug dealers around I was just applying for a job if it's the day I'm thinking of it gets crowded a lot of Travelers it's clean you have to get permission to get into the bathrooms that sucks,3,Neutral,Neutral,Positive,Negative,Negative,,,,,False,True,
30782,Drive through has issue with distinguishing double and normal hamburger,3,Neutral,Negative,Neutral,Negative,Neutral,,,,Negative,False,False,
20390,Always takes forever. They never smile and they re never that friendly. I ve gone at night when it,1,Negative,Negative,Neutral,Negative,Neutral,,,,Negative,False,False,
6386,my favorite part of the restaurant is the nice gentlemen worker who holds the door for you whenever you enter but he kinda smelly sometimes and i think he forgot his uniform at home,5,Positive,Neutral,Negative,Positive,Neutral,,,,,False,True,
6726,Not bad. Could be cleaner.,4,Positive,Neutral,Positive,Neutral,Neutral,,,,Neutral,False,False,
4443,good place to stop by if you need to pee,2,Negative,Positive,Positive,Neutral,Positive,,,,Positive,False,False,
30892,"Small one inside Walmart,has a bit of a wait tho as not many staff and as you can imagine it's very busy!x",4,Positive,Neutral,Neutral,Negative,Neutral,,,,Neutral,False,False,
11822,"You can enjoy eating in this place, I did not like eating outside the premises, besides the restrooms being closed",3,Neutral,Neutral,Negative,Negative,Negative,,,,Negative,False,False,
14890,I use the mobile app I've just pull up and park in the spot five minutes later I have my food,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
14437,Speedy service that is what you expect from a McDonald's,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
22645,"Crazy busy, downloaded the app for next time.",3,Neutral,Neutral,Negative,Neutral,Neutral,,,,Neutral,False,False,
25851,"Pure and utter trash, was in line after ordering for about 40min just to get stale fries, and tried passing diet coke for coke. Very distinct taste. If you're wondering, Fyi there was no way out of the line",1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
13398,Cheese was not melted in my cheese burger. French fries were good though,3,Neutral,Negative,Positive,Neutral,Neutral,,,,,False,True,
10718,Service slow. Good salty,4,Positive,Negative,Positive,Neutral,Positive,,,,,False,True,
23970,The food is the same each week but it's not that good,3,Neutral,Negative,Positive,Negative,Negative,,,,Negative,False,False,
10691,Miami mcdonald s > any other mcdonald,4,Positive,Positive,Negative,Positive,Positive,,,,Positive,False,False,
8704,Friendly staff. Was even offered a position. Yet I could not accept due to my being homeless at the moment..,5,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
3329,Be ready to stand most of the time when you take dine in,3,Neutral,Neutral,Positive,Negative,Negative,,,,,False,True,
21445,"Ice cream machine was down for 2 days, not going to go back, just goto another McDonald's.",1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
10053,"quarter pound deluxe no cheese???? why? cant do job right? salt even have no fry. still ate. unpleased, i hate burger kung",1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
16018,Thanks for being open,4,Positive,Positive,Neutral,Positive,Positive,,,,Positive,False,False,
23182,"In a pinch, it's food. My burger was slipped all over the inside of the wrapper and floating in grease. I just ate the dry parts. My husband's chicken sandwich came without any of the toppings and completely drenched in mystery dressing. Fries were super old and had that old grease fishy taste. Sodas (coke and Dr Pepper) were next to flat. We were starving after a long hot day so, we just ate it and tried not to think about it.",1,Negative,Negative,Neutral,Negative,Negative,,,,Negative,False,False,
