review_id,review,rating,sentiment,label_source,prediction_confidence,needs_human_review,split_role,is_autotag,store_name,store_address,review_time,days_ago,review_clean,rating_num,reviewer_id,review_processed
17,"The line wS extremely big and was moving very slowly, plus they were out of apple pies and strawberry cream pies, but they gave me substitute cinnabun, the staff was very apologetic for being slow & they were out of pies, but it was middle of the night and they were extremely under-staffed.",4,Neutral,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",a year ago,365.0,"The line wS extremely big and was moving very slowly, plus they were out of apple pies and strawberry cream pies, but they gave me substitute cinnabun, the staff was very apologetic for being slow & they were out of pies, but it was middle of the night and they were extremely under-staffed.",4,17,the line extremely big and was moving very slowly plus they were out apple pies and strawberry cream pies but they gave substitute cinnabun the staff was very apologetic for being slow they were out pies but was middle the night and they were extremely under staffed
31,(Sarcasm) this was exactly what I ordered! A 20 minute wait in the drive through for a room temperature caramel mocha that was less than 2/3 full!,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",2 years ago,730.0,(Sarcasm) this was exactly what I ordered! A 20 minute wait in the drive through for a room temperature caramel mocha that was less than 2/3 full!,1,31,sarcasm this was exactly what ordered minute wait the drive through for room temperature caramel mocha that was less than full
62,Never would come back here again my mother was asking for a coke and the lady became rude and said to her coworker in Spanish omg this fat women it hurt me that she said that and we know what she said so teach your employees how to speck properly in front of people,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",7 months ago,210.0,Never would come back here again my mother was asking for a coke and the lady became rude and said to her coworker in Spanish omg this fat women it hurt me that she said that and we know what she said so teach your employees how to speck properly in front of people,1,62,never would come back here again mother was asking for coke and the lady became rude and said her coworker spanish omg this fat women hurt that she said that and know what she said teach your employees how speck properly front people
65,They run out of fry containers and constantly forget sauces. The dining room is still closed for some reason so have fun getting back in line for a sauce. Sometimes the fries aren't great which is a huge part of McDonald's. Come on guys...,3,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",2 years ago,730.0,They run out of fry containers and constantly forget sauces. The dining room is still closed for some reason so have fun getting back in line for a sauce. Sometimes the fries aren't great which is a huge part of McDonald's. Come on guys...,3,65,they run out fry containers and constantly forget sauces the dining room still closed for some reason have fun getting back line for sauce sometimes the fries are not great which huge part come guys
82,"The staff is very kind and the food is usually prepared in a timely manner, for this reason it'sone of my preferred location's. However the drive thru line can sometimes be an inconvenience as it can get very long and at times even block entrances.",4,Positive,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",2 years ago,730.0,"The staff is very kind and the food is usually prepared in a timely manner, for this reason it'sone of my preferred location's. However the drive thru line can sometimes be an inconvenience as it can get very long and at times even block entrances.",4,82,the staff very kind and the food usually prepared timely manner for this reason isone preferred however the drive thru line can sometimes inconvenience can get very long and times even block entrances
90,"Night time drive through team seem really unprofessional. I ordered a meal with an extra fry, but when I got to the food window, was only given the fry with the meal. I mentioned the extra fry and was told I only paid for 1 fry. I offered to pay the difference for the extra fry, but was told I needed to drive back around and order again. Seriously? That's the response? Will not be returning.",1,Negative,human_annotated,1.0,False,validation,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",a year ago,365.0,"Night time drive through team seem really unprofessional. I ordered a meal with an extra fry, but when I got to the food window, was only given the fry with the meal. I mentioned the extra fry and was told I only paid for 1 fry. I offered to pay the difference for the extra fry, but was told I needed to drive back around and order again. Seriously? That's the response? Will not be returning.",1,90,night time drive through team seem really unprofessional ordered meal with extra fry but when got the food window was only given the fry with the meal mentioned the extra fry and was told only paid for fry offered pay the difference for the extra fry but was told needed drive back around and order again seriously that the response will not returning
111,They tried to charge me for a piece of egg when I asked for a bacon egg and cheese McGriddle through the drive thru. I went inside and the manager tried to charge me when her employee never confirmed my order. All I said was sub bacon instead of the sausage and somehow the egg got taken off? I don,1,Negative,human_annotated,1.0,False,validation,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",3 years ago,1095.0,They tried to charge me for a piece of egg when I asked for a bacon egg and cheese McGriddle through the drive thru. I went inside and the manager tried to charge me when her employee never confirmed my order. All I said was sub bacon instead of the sausage and somehow the egg got taken off? I don,1,111,they tried charge for piece egg when asked for bacon egg and cheese mcgriddle through the drive thru went inside and the manager tried charge when her employee never confirmed order all said was sub bacon instead the sausage and somehow the egg got taken off don
134,"Literally the only thing they did not mess up was the drinks. The frys were old and barely filled halfway and we ordered a large, the only condiment we asked for was ketchup...didn",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",3 years ago,1095.0,"Literally the only thing they did not mess up was the drinks. The frys were old and barely filled halfway and we ordered a large, the only condiment we asked for was ketchup...didn",1,134,literally the only thing they did not mess was the drinks the frys were old and barely filled halfway and ordered large the only condiment asked for was ketchup didn
151,"Went thru the drive thru, for breakfast. I like the Egg McMuffin meal, but that is about the only thing I'll eat off of their menu. My meal with a coke, ended up being wrong. They gave me a sausage biscuit and the coke was horrible. The line was so long, that I did not have time to wait, so I just threw it all away. I won't be coming back to this location.",1,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",7 years ago,2555.0,"Went thru the drive thru, for breakfast. I like the Egg McMuffin meal, but that is about the only thing I'll eat off of their menu. My meal with a coke, ended up being wrong. They gave me a sausage biscuit and the coke was horrible. The line was so long, that I did not have time to wait, so I just threw it all away. I won't be coming back to this location.",1,151,went thru the drive thru for breakfast like the egg mcmuffin meal but that about the only thing eat off their menu meal with coke ended being wrong they gave sausage biscuit and the coke was horrible the line was long that did not have time wait just threw all away will not coming back this
169,Just came from the Lake Creek Festival location! I will not go there again! They continue too mess up my order ! I took back the order and the Manager was rude!,1,Negative,human_annotated,1.0,False,train,False,McDonald's,"13749 US-183 Hwy, Austin, TX 78750, United States",2 years ago,730.0,Just came from the Lake Creek Festival location! I will not go there again! They continue too mess up my order ! I took back the order and the Manager was rude!,1,169,just came from the lake creek festival will not there again they continue too mess order took back the order and the manager was rude
